"","DPA_PARROQ","DPA_DESPRO","DPA_DESCAN","DPA_DESPAR","pwettest","pop2","pdriest","max","min","tseason","m_prob"
"666","090350","GUAYAS","BALAO","BALAO",164,15846,14,31.8999996185303,18.7240009307861,105.514282226562,0.0628701694753156
"667","090450","GUAYAS","BALZAR","BALZAR",353,56444,2,30.6880016326904,18.8799991607666,94.9888153076172,0.645511204092411
"668","090550","GUAYAS","COLIMES","COLIMES",319,31461,3,30.564001083374,18.1319999694824,108.741661071777,0.246009637782615
"669","090551","GUAYAS","COLIMES","SAN JACINTO",289,0,2,30.3920001983643,18.1000003814697,102.533363342285,0.0569912646292507
"670","090650","GUAYAS","DAULE","DAULE",269,5159,1,30.7999992370605,19.3680000305176,89.36083984375,0.0749289538214984
"671","090652","GUAYAS","DAULE","JUAN BAUTISTA AGUIRRE (LOS TINTOS)",298,0,1,30.8400001525879,19.3159999847412,95.7675323486328,0.0624425086486839
"672","090653","GUAYAS","DAULE","LAUREL",288,1928,1,30.8039989471436,19.2919998168945,91.9651794433594,0.0696239619997611
"673","090654","GUAYAS","DAULE","LIMONAL",259,0,1,30.7000007629395,19.2240009307861,89.0292510986328,0.0556247318239811
"674","090656","GUAYAS","DAULE","LOS LOJAS (ENRIQUE BAQUERIZO MORENO)",280,0,1,30.6200008392334,19.0839996337891,90.4129791259766,0.0623008972636442
"675","090750","GUAYAS","DURAN","ELOY ALFARO (DURAN)",290,5032,2,31.1319999694824,19.3159999847412,103.35228729248,0.0676070237750709
"676","090850","GUAYAS","EMPALME","VELASCO IBARRA (CAB. EL EMPALME)",429,0,8,30.7999992370605,19.6599998474121,74.9796829223633,0.203059553787973
"677","090851","GUAYAS","EMPALME","GUAYAS (PUEBLO NUEVO)",445,6836,12,30.6119995117188,19.7719993591309,72.8876342773438,0.284193100396059
"678","090852","GUAYAS","EMPALME","EL ROSARIO",415,8516,5,30.7479991912842,19.3759994506836,77.1787567138672,0.260128759484828
"679","090950","GUAYAS","EL TRIUNFO","EL TRIUNFO",395,7886,10,31.2240009307861,18.8119983673096,97.9536285400391,0.183052878410506
"680","091050","GUAYAS","MILAGRO","MILAGRO",346,1003,2,31.1960010528564,19.1040000915527,101.953094482422,0.0871681257400519
"681","091051","GUAYAS","MILAGRO","CHOBO",322,0,2,31.2759990692139,19.1720008850098,102.401710510254,0.0710071373404161
"682","091053","GUAYAS","MILAGRO","MARISCAL SUCRE (HUAQUES)",369,81,2,31.1000003814697,19.1000003814697,102.231468200684,0.0941147154675855
"683","091054","GUAYAS","MILAGRO","ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)",352,65,3,31.2999992370605,19,103.066833496094,0.0881655435710552
"684","091150","GUAYAS","NARANJAL","NARANJAL",223,5975,8,31.1599998474121,18.8439998626709,99.3617248535156,0.0549836321686003
"685","091151","GUAYAS","NARANJAL","JESUS MARIA",316,1205,8,31.7119998931885,19.003999710083,106.146530151367,0.0755757651449133
"686","091152","GUAYAS","NARANJAL","SAN CARLOS",332,2056,9,31.5520000457764,18.8959999084473,103.593292236328,0.0907553443070874
"687","091153","GUAYAS","NARANJAL","SANTA ROSA DE FLANDES",229,1744,4,31.8159999847412,19.2399997711182,108.957679748535,0.0402229153744738
"688","091154","GUAYAS","NARANJAL","TAURA",298,2433,4,31.4120006561279,19.0160007476807,107.273414611816,0.0647866732831609
"689","091250","GUAYAS","NARANJITO","NARANJITO",388,578,5,31.0359992980957,18.8959999084473,98.8583755493164,0.119236372926155
"690","091350","GUAYAS","PALESTINA","PALESTINA",295,5582,3,30.7000007629395,18.9839992523193,92.7447814941406,0.0877151039271397
"691","091450","GUAYAS","PEDRO CARBO","PEDRO CARBO",248,12595,1,30.1800003051758,17.9720001220703,100.003959655762,0.0818231142945169
"692","091451","GUAYAS","PEDRO CARBO","VALLE DE LA VIRGEN",268,5879,2,30.2919998168945,18.1959991455078,93.2425231933594,0.077901621663972
"693","091452","GUAYAS","PEDRO CARBO","SABANILLA",237,4162,2,30.0799999237061,18.1200008392334,95.2906646728516,0.0542210051211477
"694","091650","GUAYAS","SAMBORONDON","SAMBORONDON",314,280,1,30.8999996185303,19.5,99.9132308959961,0.0626370740329975
